"Preis";"Wohnflaeche";"Alter";"Klimaanlage";"Kamin";"Heizung"
132500;84,1694537346711;42;"Nein";"Ja";"Strom"
181115;181,438127090301;0;"Nein";"Nein";"Gas"
109000;180,602006688963;133;"Nein";"Ja";"Gas"
155000;180,602006688963;13;"Nein";"Ja";"Gas"
86060;78,0379041248606;0;"Ja";"Nein";"Gas"
120000;107,023411371237;31;"Nein";"Ja";"Gas"
153000;255,667038275734;33;"Nein";"Ja";"Oel"
170000;154,403567447046;23;"Nein";"Ja";"Oel"
90000;151,616499442586;36;"Nein";"Nein";"Strom"
122900;131,549609810479;4;"Nein";"Nein";"Gas"
325000;268,859160163508;123;"Nein";"Nein";"Oel"
120000;150,873281308064;1;"Nein";"Nein";"Gas"
85860;65,4031958379784;13;"Nein";"Nein";"Strom"
97000;128,483835005574;153;"Nein";"Nein";"Gas"
127000;120,772946859903;9;"Nein";"Nein";"Oel"
89900;86,9565217391304;88;"Nein";"Nein";"Gas"
155000;120,772946859903;9;"Nein";"Nein";"Oel"
253750;261,612783351914;0;"Ja";"Ja";"Gas"
60000;85,8416945373467;82;"Nein";"Nein";"Oel"
87500;101,449275362319;17;"Nein";"Nein";"Oel"
112000;98,1047937569677;12;"Nein";"Nein";"Strom"
104900;148,643626904496;21;"Nein";"Nein";"Strom"
148635;146,413972500929;1;"Ja";"Nein";"Gas"
150000;193,236714975845;24;"Nein";"Nein";"Oel"
90400;148,643626904496;16;"Nein";"Nein";"Strom"
248800;206,61464139725;28;"Nein";"Nein";"Oel"
135000;153,846153846154;126;"Nein";"Nein";"Oel"
145000;108,695652173913;26;"Nein";"Nein";"Oel"
457000;228,632478632479;53;"Nein";"Ja";"Oel"
140000;143,441099962839;56;"Ja";"Ja";"Oel"
130000;113,340765514679;51;"Nein";"Ja";"Oel"
187000;172,612411742847;3;"Nein";"Ja";"Gas"
229000;206,150130063174;9;"Nein";"Ja";"Gas"
227000;174,284652545522;201;"Nein";"Nein";"Oel"
179900;188,219992567819;1;"Nein";"Ja";"Gas"
169900;155,239687848384;19;"Ja";"Ja";"Gas"
209900;191,378669639539;1;"Nein";"Ja";"Gas"
169900;175,027870680045;0;"Nein";"Ja";"Gas"
293000;187,848383500557;43;"Nein";"Ja";"Gas"
245900;222,408026755853;0;"Ja";"Ja";"Gas"
157000;129,134150873281;45;"Nein";"Ja";"Gas"
195000;181,531029357116;32;"Ja";"Nein";"Gas"
150000;144,370122630992;54;"Ja";"Ja";"Oel"
234900;183,574879227053;9;"Ja";"Nein";"Gas"
279550;230,304719435154;0;"Nein";"Ja";"Gas"
246500;252,136752136752;0;"Nein";"Ja";"Gas"
124000;74,0431066518023;98;"Nein";"Nein";"Oel"
138000;139,353400222965;54;"Nein";"Nein";"Gas"
290000;170,75436640654;73;"Nein";"Nein";"Oel"
108000;96,8041620215533;48;"Nein";"Ja";"Gas"
134900;165,551839464883;10;"Ja";"Nein";"Gas"
64500;137,495354886659;16;"Nein";"Ja";"Gas"
142000;132,478632478632;20;"Nein";"Ja";"Gas"
125000;130,434782608696;32;"Nein";"Nein";"Gas"
88000;137,495354886659;15;"Ja";"Ja";"Gas"
135000;124,860646599777;135;"Nein";"Nein";"Gas"
90000;137,495354886659;14;"Ja";"Ja";"Gas"
90100;137,495354886659;15;"Nein";"Ja";"Gas"
126900;148,272017837235;10;"Nein";"Nein";"Gas"
175000;164,251207729469;15;"Nein";"Ja";"Strom"
158000;125,232255667038;10;"Ja";"Ja";"Gas"
92000;137,495354886659;14;"Nein";"Ja";"Gas"
82800;137,774061687105;225;"Nein";"Nein";"Gas"
140000;146,413972500929;25;"Ja";"Ja";"Gas"
171000;93,6454849498328;15;"Nein";"Nein";"Strom"
200640;216,648086213304;0;"Nein";"Nein";"Gas"
139000;98,8480118914902;30;"Nein";"Ja";"Oel"
225000;225,566703827573;12;"Ja";"Ja";"Gas"
182000;121,701969528056;16;"Nein";"Ja";"Strom"
208767;154,403567447046;0;"Ja";"Nein";"Gas"
186000;185,804533630621;0;"Nein";"Nein";"Gas"
93000;137,495354886659;14;"Nein";"Ja";"Gas"
257386;275,826830174656;0;"Ja";"Ja";"Gas"
161000;143,255295429208;10;"Ja";"Nein";"Gas"
92000;141,861761426979;18;"Nein";"Nein";"Oel"
211002;203,920475659606;0;"Nein";"Nein";"Gas"
115000;137,495354886659;14;"Nein";"Ja";"Gas"
113000;134,894091415831;53;"Ja";"Nein";"Oel"
216300;219,249349684132;0;"Nein";"Nein";"Gas"
145000;133,779264214047;32;"Nein";"Ja";"Oel"
114000;137,495354886659;14;"Nein";"Ja";"Strom"
139050;174,563359345968;125;"Nein";"Nein";"Gas"
104000;137,495354886659;14;"Nein";"Nein";"Gas"
169900;166,480862133036;11;"Nein";"Nein";"Gas"
177900;128,76254180602;2;"Nein";"Nein";"Gas"
133000;155,70419918246;14;"Ja";"Ja";"Strom"
185000;71,3489409141583;0;"Nein";"Nein";"Gas"
115000;144,927536231884;16;"Ja";"Ja";"Strom"
100000;92,9022668153103;91;"Nein";"Nein";"Oel"
117000;155,70419918246;15;"Nein";"Ja";"Strom"
150000;153,846153846154;11;"Nein";"Nein";"Strom"
