"ID";"B_SATS_Gefuehl";"B_SATS_Kompetenz";"B_SATS_Wert";"B_SATS_Schwierigkeit";"B_SATS_Interesse";"B_SATS_Aufwand";"C1_Mathe";"C1_Schule";"C1_Hochschule";"C4_Notenerwartung";"D_BFI_E";"D_BFI_N";"D_BFI_O";"D_BFI_G";"D_BFI_V";"E_Action";"E_FantasySciFi";"E_Drama";"E_Horror";"E_Thriller";"E_Komoedie";"E_Liebe";"E_Erotik";"E_Animation";"E_Dokumentation";"F01_Pullover";"F02_Schuhe1";"F03_Schuhe2";"F04_Schuhe3";"F05_Zinsen";"F06_Preise";"F07_Aktien";"F08_Putzen";"F09_Kino";"F10_Tischtennis";"F11_Linda";"G01_Geschlecht";"G02_Alter";"G04_Studium";"G05_Zugangsberechtigung"
590;4,7;4,5;5,3;4;3,5;5,2;4;4;5;2,7;3,5;3,5;2,5;3;2,5;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden mehr Pullover verkauft.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"weiblich";NA;NA;NA
1495;4;4,8;4,2;2,8;3,8;6,2;5;5;6;2;5;1,5;NA;5;3,5;"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Ja";"Nein";"Genau 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";23;"Ja, ein Elternteil";"Fachhochschulreife"
1034;1,7;2;5,3;1;2,5;6,5;3;5;6;4;5;4,5;5;3;4;"Ja";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";24;"Ja, beide";"allgemeine Hochschulreife / Abitur"
1394;4,3;5;4,7;2,3;4,8;6;2;4;4;3;3,5;2,5;3,5;3,5;2;"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"maennlich";25;"Nein";"allgemeine Hochschulreife / Abitur"
503;2,8;4,8;3,9;2;4,8;6;7;5;5;3;4;2;2;3;3;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"5 Cent.";NA;"maennlich";26;"Nein";"allgemeine Hochschulreife / Abitur"
1382;2,5;3,8;3,2;2,9;3,5;7;5;5;5;2;2;3,5;4,5;4;2;"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";23;"Nein";"allgemeine Hochschulreife / Abitur"
1424;2,5;3,8;3,2;2,7;4;6,5;4;5;5;4;2,5;4;2,5;3;4;"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";23;"Nein";"allgemeine Hochschulreife / Abitur"
731;4;3,7;4,1;3,1;4,2;5,5;5;7;7;3;2,5;3,5;3,5;3,5;4;"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Mehr.";"Weiss nicht.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"10 Cent.";"Linda ist Bankangestellte.";"weiblich";29;"Nein";"allgemeine Hochschulreife / Abitur"
1474;4,2;4,8;4,8;2,9;5,8;6,2;6;5;6;1,7;2,5;3,5;3,5;4,5;2;"Ja";"Nein";"Ja";"Nein";"Ja";"Ja";"Nein";"Ja";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Hoeher als 105 Euro.";"Weniger.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";NA;"maennlich";23;"Nein";"Fachhochschulreife"
1411;6,5;6,3;6,7;3,6;7;7;6;5;7;NA;4,5;1;2,5;5;3;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Genau 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Weiss nicht.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"weiblich";42;"Nein";"allgemeine Hochschulreife / Abitur"
